platform,content_type,content_topic,creator_category,post_hour,day_of_week,is_weekend,is_peak_time,caption_length,hashtag_count,mention_count,emoji_count,has_call_to_action,uses_trending_audio,carousel_slides,video_duration_sec,media_quality_score,sentiment_score_caption,followers_count,audience_active_percent,avg_past_engagement,posting_frequency_per_week,account_age_days,is_paid_promotion,ad_spend_usd,collaboration_flag,engagement_score
Instagram,Carousel,Entertainment,Personal Brand,0,6,1,0,178,11,0,2,1,0,5,0,10.0,0.558,6115,52.18,791.89,5.0,1071,0,0.0,0,999.18
X,Text,Behind-the-scenes,Personal Brand,3,6,1,0,177,8,1,2,0,0,1,0,8.3,0.316,16262,44.99,30.0,5.7,663,0,0.0,0,890.38
Instagram,Video,Product,Business,14,1,0,0,203,10,2,4,0,0,1,61,6.88,1.0,68324,65.26,1039.47,1.8,1146,0,0.0,0,1114.05
LinkedIn,Image,Entertainment,Business,18,2,0,1,211,10,1,0,0,0,1,0,8.39,-0.265,49604,41.12,1423.35,4.6,1303,0,0.0,1,960.88
Instagram,Video,Entertainment,Business,9,6,1,0,26,15,1,2,1,1,1,27,7.42,0.275,6027,35.74,1083.94,3.6,631,0,0.0,1,1001.89
Facebook,Image,Product,Educator,8,0,0,0,219,9,0,5,0,0,1,0,7.16,-0.781,10413,51.45,775.09,3.3,1260,0,0.0,0,932.88
LinkedIn,Carousel,Product,Business,21,6,1,1,80,6,1,1,0,0,8,0,6.11,0.185,36311,64.27,538.19,4.2,1318,0,0.0,0,979.53
Instagram,Image,Entertainment,Educator,21,2,0,1,34,16,2,2,1,0,1,0,6.84,0.846,18761,68.87,172.13,6.2,875,0,0.0,0,933.83
Instagram,Image,Education,Media,8,1,0,0,62,6,1,6,0,0,1,0,7.16,-0.755,125956,51.8,968.83,6.2,542,0,0.0,0,1013.46
Instagram,Image,Lifestyle,Educator,22,0,0,1,142,6,1,6,0,0,1,0,8.17,-0.182,3250,50.93,154.02,1.0,1382,0,0.0,0,843.96
X,Image,Motivation,Personal Brand,2,3,0,0,217,11,0,2,0,0,1,0,5.99,-0.301,10819,37.07,212.8,7.6,741,0,0.0,0,849.8
Instagram,Carousel,Product,Influencer,8,4,0,0,109,5,0,3,0,0,8,0,6.86,0.473,69499,62.43,787.33,5.7,922,0,0.0,0,1003.19
Instagram,Reel,Behind-the-scenes,Media,11,6,1,1,84,7,1,3,0,0,1,5,6.91,0.286,3816,37.91,1859.16,4.3,733,1,46.9,0,925.74
X,Text,Lifestyle,Business,0,5,1,0,114,9,1,1,0,0,1,0,7.64,0.32,27338,81.07,1473.15,10.1,1576,1,70.71,0,1048.3
YouTube Shorts,Reel,Lifestyle,Business,9,6,1,0,220,6,3,2,0,1,1,25,8.33,-0.079,11422,45.87,1051.24,5.3,905,1,113.17,1,1176.61
YouTube Shorts,Video,Entertainment,Media,6,1,0,0,177,3,0,2,1,1,1,17,8.42,0.749,3476,56.61,1501.01,3.0,839,1,612.73,0,1092.16
LinkedIn,Text,Behind-the-scenes,Business,10,5,1,0,101,8,4,4,0,0,1,0,8.59,-0.768,17126,22.17,1518.64,2.3,559,0,0.0,0,981.08
Facebook,Image,Education,Personal Brand,20,0,0,1,113,4,1,3,0,0,1,0,8.28,-0.071,20679,46.61,1799.86,6.6,1075,0,0.0,0,1053.65
Instagram,Image,Education,Business,3,6,1,0,109,3,6,1,0,0,1,0,5.95,0.042,12284,43.01,1430.53,2.3,1291,0,0.0,1,845.29
YouTube Shorts,Video,Lifestyle,Personal Brand,9,1,0,0,51,10,4,7,1,1,1,8,8.08,0.247,14530,63.32,660.93,1.1,771,0,0.0,0,1014.48
Instagram,Reel,Motivation,Influencer,0,3,0,0,198,4,0,1,0,0,1,13,7.28,0.746,280203,53.97,313.27,8.6,1029,0,0.0,0,1055.29
LinkedIn,Image,Behind-the-scenes,Media,11,1,0,1,123,7,1,3,0,0,1,0,5.55,0.375,115330,37.14,1493.16,4.1,1500,0,0.0,1,1095.08
Instagram,Image,News,Media,1,4,0,0,20,13,2,5,1,0,1,0,6.72,0.604,13425,40.05,106.07,5.2,902,0,0.0,1,919.56
X,Text,Entertainment,Influencer,14,6,1,0,105,15,0,1,0,0,1,0,5.39,-0.179,26008,51.98,551.44,5.7,841,0,0.0,1,864.42
LinkedIn,Video,Entertainment,Educator,8,6,1,0,213,6,1,2,0,0,1,5,5.33,0.866,28157,59.87,1553.93,4.0,1071,1,300.34,0,1180.64
YouTube Shorts,Video,Lifestyle,Business,9,1,0,0,88,9,1,3,0,1,1,52,5.46,0.182,33501,73.24,442.26,4.9,664,1,100.3,0,1136.91
YouTube Shorts,Video,Entertainment,Media,2,4,0,0,72,8,2,4,0,0,1,14,7.54,0.501,37672,69.06,641.42,6.8,1402,0,0.0,0,1065.82
X,Video,Motivation,Educator,17,6,1,0,167,4,0,3,1,1,1,41,8.38,0.242,25664,48.79,1171.9,4.5,1014,0,0.0,0,1088.61
YouTube Shorts,Reel,News,Personal Brand,23,0,0,0,149,9,0,4,0,0,1,22,5.1,-0.082,44837,51.1,672.82,1.1,1209,0,0.0,0,992.54
X,Video,Education,Educator,16,4,0,0,49,6,1,3,0,0,1,55,5.97,0.08,77117,29.63,1767.29,5.4,597,1,85.42,0,1039.56
X,Image,Education,Business,0,5,1,0,101,4,0,1,1,0,1,0,4.09,-0.085,132265,59.79,802.24,3.9,179,1,316.76,0,1089.12
X,Text,Motivation,Personal Brand,3,3,0,0,116,7,0,4,1,0,1,0,7.63,0.708,9909,44.72,776.56,4.5,1240,0,0.0,0,967.17
YouTube Shorts,Reel,Motivation,Educator,10,3,0,0,21,7,0,2,1,0,1,39,6.23,-0.636,63738,27.57,514.28,4.4,1171,1,107.67,0,1040.7
Instagram,Carousel,Product,Educator,5,4,0,0,255,8,1,4,0,0,4,0,6.38,0.228,30258,43.04,649.73,4.1,1301,0,0.0,0,956.24
Instagram,Reel,Lifestyle,Influencer,1,0,0,0,87,8,3,5,0,1,1,38,6.76,0.668,13834,57.83,30.0,1.6,407,0,0.0,1,1086.61
Facebook,Video,Product,Influencer,21,2,0,1,54,6,0,2,1,1,1,36,5.69,-0.326,55826,42.43,322.39,4.0,1003,0,0.0,0,980.85
Instagram,Reel,Entertainment,Personal Brand,18,3,0,1,197,6,2,4,0,1,1,29,7.89,0.117,32366,88.03,1197.8,5.9,632,0,0.0,0,1307.41
YouTube Shorts,Video,Entertainment,Educator,4,4,0,0,111,5,0,4,0,1,1,50,7.48,-0.4,73330,53.62,828.03,1.2,233,0,0.0,0,1020.97
LinkedIn,Text,Education,Personal Brand,13,2,0,1,158,6,1,1,1,0,1,0,9.61,-0.169,34410,60.5,368.26,4.2,717,0,0.0,1,1050.86
Instagram,Image,Entertainment,Media,15,2,0,0,129,8,1,2,1,0,1,0,5.77,0.359,5204,25.76,136.27,3.6,205,1,125.81,0,751.73
X,Video,Behind-the-scenes,Personal Brand,5,3,0,0,169,7,1,1,0,0,1,55,7.52,0.051,58584,30.06,512.59,7.1,526,1,167.39,0,862.36
Instagram,Video,Lifestyle,Personal Brand,20,0,0,1,101,12,0,3,0,1,1,48,5.57,0.129,74040,66.01,837.17,4.6,722,0,0.0,0,1101.3
Instagram,Carousel,Education,Influencer,22,3,0,1,192,8,1,3,0,0,9,0,7.24,0.525,11661,60.62,1051.35,7.0,44,0,0.0,0,1153.8
Instagram,Reel,Motivation,Business,6,5,1,0,132,11,0,3,1,0,1,51,5.37,0.356,15170,52.96,596.09,6.9,1137,0,0.0,0,1014.52
LinkedIn,Text,Lifestyle,Influencer,14,3,0,0,83,5,1,4,0,0,1,0,7.57,0.505,27140,57.96,1012.04,5.6,1098,0,0.0,0,1129.97
YouTube Shorts,Video,Motivation,Personal Brand,19,2,0,1,246,8,2,2,0,0,1,53,7.47,0.166,24514,54.04,472.01,3.7,228,0,0.0,1,1008.42
X,Text,News,Educator,16,0,0,0,104,13,0,6,0,0,1,0,8.12,0.569,6258,60.55,1201.61,4.6,1507,0,0.0,0,977.04
LinkedIn,Carousel,Entertainment,Personal Brand,14,6,1,0,95,4,1,0,1,0,7,0,4.23,0.572,174146,70.58,1664.31,3.0,968,0,0.0,0,1154.6
X,Text,Product,Influencer,11,6,1,1,163,6,1,2,1,0,1,0,8.83,-0.57,6131,53.32,862.18,3.8,510,0,0.0,1,1014.66
Facebook,Image,Education,Media,11,3,0,1,106,3,0,3,0,0,1,0,6.83,0.7,30395,49.1,864.0,4.6,969,0,0.0,0,1029.93
Instagram,Carousel,Behind-the-scenes,Educator,5,3,0,0,52,11,0,1,1,0,4,0,7.04,-0.732,14289,59.12,1704.75,4.0,1553,0,0.0,0,891.36
Facebook,Video,Education,Business,23,4,0,0,192,7,1,1,1,0,1,21,6.86,0.459,43371,35.29,1732.18,5.1,249,0,0.0,0,971.17
Facebook,Video,Motivation,Business,3,3,0,0,111,4,1,4,0,0,1,70,7.46,-0.433,25008,73.85,30.0,7.3,1332,0,0.0,0,1024.31
Instagram,Image,Entertainment,Media,0,6,1,0,41,9,1,3,0,0,1,0,7.09,0.847,7616,68.2,1390.15,5.2,1081,1,82.38,0,1049.94
X,Text,Education,Business,15,6,1,0,119,5,2,2,0,0,1,0,5.85,-0.297,31101,43.79,774.59,2.2,277,0,0.0,0,874.75
Instagram,Reel,News,Business,10,3,0,0,67,9,0,4,1,1,1,50,6.92,0.534,64901,33.81,1051.4,2.9,752,0,0.0,0,1136.96
Instagram,Video,Behind-the-scenes,Influencer,4,3,0,0,94,6,0,2,0,0,1,30,7.91,0.792,217544,36.26,30.0,7.2,593,1,92.35,0,1028.07
YouTube Shorts,Video,Education,Educator,1,4,0,0,217,6,3,1,0,0,1,44,6.84,0.006,7571,35.89,2016.34,4.2,1053,0,0.0,0,870.12
Instagram,Reel,Entertainment,Educator,1,2,0,0,177,5,0,0,1,0,1,40,8.85,0.658,20392,40.54,658.18,1.0,1294,0,0.0,0,968.9
YouTube Shorts,Reel,Education,Business,22,2,0,1,20,11,0,1,1,1,1,25,9.17,0.84,92473,51.61,770.95,5.3,884,1,207.93,0,1208.92
Instagram,Reel,Product,Personal Brand,21,5,1,1,137,7,0,3,1,0,1,35,5.97,-0.042,5865,46.51,82.91,6.8,743,0,0.0,0,985.81
X,Text,Education,Influencer,17,1,0,0,153,8,3,2,0,0,1,0,6.69,1.0,44031,46.81,148.07,2.1,861,1,205.83,1,984.55
LinkedIn,Carousel,Entertainment,Media,13,3,0,1,155,11,0,3,0,0,8,0,9.43,0.748,6524,38.6,1120.99,8.7,1096,0,0.0,0,897.03
Instagram,Reel,Education,Personal Brand,9,0,0,0,282,9,1,6,1,0,1,9,5.5,-0.303,29940,49.89,858.16,6.5,685,0,0.0,1,1016.34
Instagram,Reel,Product,Personal Brand,4,1,0,0,20,4,2,5,1,0,1,40,8.57,-0.474,5842,52.95,1123.95,1.2,1444,0,0.0,0,938.78
Instagram,Image,Motivation,Business,9,6,1,0,220,8,4,2,0,0,1,0,6.06,-0.146,35069,55.72,1257.01,8.0,990,0,0.0,0,1107.36
X,Image,Education,Educator,14,4,0,0,93,5,1,5,0,0,1,0,10.0,-0.503,9538,67.86,30.0,6.5,1818,0,0.0,0,965.16
Facebook,Image,Product,Personal Brand,23,6,1,0,123,5,2,4,0,0,1,0,6.51,-0.653,3794,35.59,1343.58,11.2,67,1,153.7,1,840.54
Instagram,Reel,Education,Educator,5,6,1,0,67,5,0,1,1,0,1,82,9.11,-0.447,19922,54.1,979.95,2.3,567,0,0.0,0,1001.59
Instagram,Image,Motivation,Educator,2,4,0,0,50,8,0,2,0,0,1,0,9.42,-0.449,15159,44.04,1429.18,7.7,1490,0,0.0,0,965.55
Facebook,Carousel,Entertainment,Personal Brand,3,2,0,0,161,10,3,3,0,0,5,0,8.15,-0.079,186673,42.48,30.0,5.8,1128,0,0.0,0,1010.36
Facebook,Carousel,Education,Educator,22,4,0,1,66,13,0,6,0,0,6,0,5.87,0.387,34406,61.69,929.44,6.8,463,0,0.0,1,1081.42
LinkedIn,Image,Lifestyle,Personal Brand,15,1,0,0,119,7,1,1,0,0,1,0,8.07,0.106,8507,24.43,1708.44,5.0,1386,0,0.0,0,938.04
X,Text,Entertainment,Educator,9,0,0,0,80,4,3,0,0,0,1,0,7.12,-0.598,16044,52.0,925.13,6.4,729,0,0.0,0,1066.28
LinkedIn,Video,Behind-the-scenes,Educator,22,5,1,1,110,6,3,8,0,0,1,69,7.46,0.384,17930,59.72,720.66,3.1,1750,1,238.25,0,935.46
YouTube Shorts,Video,Entertainment,Business,0,6,1,0,174,9,2,3,1,1,1,44,8.76,0.281,7693,62.48,30.0,5.5,1550,0,0.0,0,1075.74
Instagram,Reel,Motivation,Personal Brand,18,0,0,1,188,6,2,5,1,0,1,5,8.05,0.544,85626,30.57,491.81,4.4,263,0,0.0,0,961.44
YouTube Shorts,Video,Product,Influencer,9,0,0,0,219,6,3,5,1,0,1,57,8.02,0.345,51668,79.37,438.95,9.0,868,1,40.81,0,1122.3
Instagram,Video,Education,Influencer,1,6,1,0,187,7,0,1,0,0,1,39,6.48,0.3,88103,38.23,1576.61,4.3,1436,0,0.0,0,1112.63
Instagram,Image,Education,Personal Brand,16,4,0,0,240,10,1,4,0,0,1,0,7.02,0.612,96654,32.75,1187.95,7.2,446,1,191.3,0,1034.56
LinkedIn,Text,Entertainment,Personal Brand,15,6,1,0,114,6,0,2,1,0,1,0,6.32,0.49,79299,86.42,2037.29,5.4,441,0,0.0,0,1150.32
YouTube Shorts,Video,Education,Educator,1,4,0,0,62,12,0,3,1,0,1,40,6.45,0.61,31557,36.96,1038.49,4.4,1074,0,0.0,0,1013.56
X,Image,Behind-the-scenes,Business,16,0,0,0,165,8,0,0,1,0,1,0,7.78,-0.701,43235,51.11,194.38,6.2,1104,0,0.0,1,962.05
Instagram,Reel,Entertainment,Influencer,5,1,0,0,262,6,0,2,0,0,1,39,5.7,-0.685,17371,33.01,1518.69,5.3,996,0,0.0,0,1025.64
YouTube Shorts,Video,Entertainment,Media,19,1,0,1,219,2,1,0,1,1,1,37,5.63,-0.1,16208,26.71,110.43,4.0,1171,0,0.0,0,859.33
Facebook,Text,Product,Business,19,6,1,1,136,7,1,5,0,0,1,0,7.54,0.039,164765,40.62,481.56,8.9,184,0,0.0,0,926.97
Instagram,Carousel,Lifestyle,Personal Brand,2,3,0,0,265,7,2,4,1,0,7,0,8.31,-0.385,11690,59.27,73.55,4.6,64,0,0.0,0,927.16
YouTube Shorts,Reel,Education,Media,10,0,0,0,218,8,2,3,1,0,1,20,7.62,0.796,47503,73.79,1151.05,5.2,722,0,0.0,0,1143.53
YouTube Shorts,Reel,Product,Personal Brand,21,3,0,1,208,8,0,3,0,0,1,37,4.96,0.324,51316,54.0,772.41,2.1,657,0,0.0,1,1145.63
Instagram,Reel,Product,Business,14,6,1,0,221,6,2,6,0,1,1,54,8.07,-0.293,75074,45.35,806.48,5.3,531,0,0.0,0,1063.11
LinkedIn,Video,Behind-the-scenes,Personal Brand,16,1,0,0,89,8,2,1,1,0,1,55,7.96,0.278,18363,15.81,222.83,5.7,371,0,0.0,1,907.44
LinkedIn,Text,Entertainment,Influencer,11,6,1,1,141,5,1,4,0,0,1,0,7.95,-0.668,2978,49.69,687.67,6.7,1554,0,0.0,0,830.74
Facebook,Text,Product,Business,18,2,0,1,133,15,1,4,0,0,1,0,7.08,0.452,38854,33.11,30.0,7.0,314,1,442.5,0,849.09
Instagram,Reel,News,Influencer,18,4,0,1,129,6,0,4,0,0,1,29,7.89,0.105,4879,51.84,933.37,5.9,864,1,274.98,0,1088.07
LinkedIn,Text,Lifestyle,Educator,21,2,0,1,25,5,2,8,1,0,1,0,6.3,-0.15,43297,45.02,531.26,3.0,1334,0,0.0,0,883.99
Instagram,Video,Entertainment,Media,7,0,0,0,128,9,1,1,0,0,1,37,6.61,0.381,42512,52.27,1543.58,4.8,656,0,0.0,0,1059.67
Instagram,Reel,News,Educator,16,0,0,0,126,4,2,0,0,0,1,47,8.28,0.222,135976,40.03,843.51,6.7,1056,0,0.0,0,1061.85
Facebook,Image,Product,Influencer,21,5,1,1,188,3,2,6,0,0,1,0,7.58,0.265,9479,36.01,359.29,5.4,715,0,0.0,0,839.64
Instagram,Reel,Behind-the-scenes,Influencer,18,4,0,1,190,4,0,3,0,1,1,30,8.81,-0.507,16951,44.95,973.59,8.0,351,0,0.0,0,1117.44
YouTube Shorts,Video,News,Educator,9,5,1,0,207,9,3,6,0,0,1,6,6.76,0.659,79040,47.86,1558.6,6.5,799,0,0.0,1,1194.46
LinkedIn,Text,Behind-the-scenes,Educator,4,3,0,0,20,9,2,1,1,0,1,0,5.63,0.01,7694,53.56,402.7,3.8,282,1,562.56,1,863.48
YouTube Shorts,Reel,Education,Business,8,4,0,0,88,3,0,1,0,1,1,55,5.21,0.252,18171,62.66,1183.31,5.4,1200,0,0.0,0,1013.92
Facebook,Video,Entertainment,Influencer,23,4,0,0,41,6,0,0,0,0,1,66,7.97,0.588,146850,60.02,1554.45,3.2,680,1,77.48,0,1064.83
LinkedIn,Text,Education,Media,20,2,0,1,206,14,1,4,0,0,1,0,7.79,-0.082,52241,59.12,926.13,8.1,1077,1,95.86,0,1029.1
X,Image,Education,Business,3,1,0,0,125,9,0,6,0,0,1,0,7.97,-0.415,148736,74.44,226.12,3.3,930,0,0.0,0,1087.24
Instagram,Image,News,Business,23,2,0,0,40,8,0,3,0,0,1,0,6.36,0.623,82016,29.27,30.0,2.4,920,0,0.0,0,851.7
Instagram,Video,Motivation,Educator,8,6,1,0,151,6,1,4,1,1,1,31,5.71,-0.962,72213,14.81,1413.61,5.2,450,1,181.43,0,1076.78
YouTube Shorts,Reel,Product,Educator,0,1,0,0,195,6,2,2,0,0,1,40,8.91,0.85,2982,24.34,787.0,4.7,541,1,336.15,0,924.88
Instagram,Video,Behind-the-scenes,Educator,5,5,1,0,269,3,1,7,1,0,1,40,6.7,-0.445,28618,45.43,1482.84,6.0,1351,1,296.62,0,1007.46
Instagram,Image,Motivation,Media,15,5,1,0,160,7,0,3,1,0,1,0,7.36,0.205,11233,47.16,303.22,3.7,212,0,0.0,0,967.24
Instagram,Image,Motivation,Educator,20,6,1,1,175,8,3,5,0,0,1,0,5.87,0.951,36016,58.72,571.83,4.8,30,0,0.0,0,976.03
X,Image,Entertainment,Business,19,0,0,1,186,4,0,4,0,0,1,0,6.73,-0.141,63466,43.7,592.02,2.1,1794,0,0.0,1,1019.76
Instagram,Reel,Entertainment,Educator,6,4,0,0,170,10,1,1,0,0,1,50,7.2,0.724,17578,49.12,30.0,3.5,715,0,0.0,0,943.38
LinkedIn,Text,Product,Personal Brand,7,2,0,0,290,9,1,3,1,0,1,0,6.48,0.695,16705,43.15,1057.34,3.7,1165,0,0.0,0,1051.55
X,Text,Education,Educator,14,4,0,0,140,8,3,5,0,0,1,0,6.23,-0.195,2876,54.44,1669.39,4.9,1648,1,159.81,0,913.37
LinkedIn,Text,Motivation,Influencer,14,0,0,0,106,8,1,3,0,0,1,0,9.15,0.015,13353,55.74,692.57,4.2,1184,0,0.0,0,956.75
X,Video,Motivation,Personal Brand,16,5,1,0,59,9,1,3,0,0,1,59,8.81,-0.642,22262,56.45,1000.59,4.0,783,0,0.0,0,1044.11
YouTube Shorts,Reel,Entertainment,Media,1,0,0,0,273,11,2,3,0,0,1,71,6.58,-0.401,19985,67.25,521.71,1.0,1118,0,0.0,1,982.68
X,Image,Education,Influencer,13,5,1,1,108,7,3,3,0,0,1,0,5.52,-0.548,69437,30.39,1255.74,6.0,170,0,0.0,0,978.06
LinkedIn,Text,Lifestyle,Personal Brand,8,2,0,0,202,8,3,2,1,0,1,0,8.87,-0.471,87333,55.29,30.0,4.1,1262,1,101.23,1,1031.94
YouTube Shorts,Reel,News,Educator,18,1,0,1,185,5,2,3,1,1,1,60,7.59,-0.573,4415,55.0,1208.32,8.5,947,1,201.97,0,993.25
Instagram,Reel,Product,Personal Brand,5,1,0,0,45,3,1,2,0,0,1,36,6.33,0.507,60173,61.2,1392.54,5.4,162,0,0.0,1,1146.67
Facebook,Text,Product,Business,17,0,0,0,193,11,2,1,0,0,1,0,6.9,0.217,26646,55.39,1403.44,4.4,1047,0,0.0,0,985.46
Instagram,Carousel,Education,Educator,21,4,0,1,117,8,2,5,0,0,7,0,6.61,-0.007,14210,61.19,1479.56,5.5,612,0,0.0,0,1114.09
Facebook,Text,Education,Influencer,22,4,0,1,200,1,1,2,1,0,1,0,6.52,-0.021,21509,24.42,730.35,3.5,1617,1,74.62,0,910.7
X,Image,Product,Media,19,3,0,1,191,11,2,3,1,0,1,0,6.6,0.559,3944,43.35,775.92,5.3,882,0,0.0,0,987.12
X,Text,Entertainment,Business,15,0,0,0,20,7,0,1,1,0,1,0,4.07,0.094,6370,53.45,750.24,6.4,504,0,0.0,0,849.27
YouTube Shorts,Video,Entertainment,Influencer,4,4,0,0,117,9,1,3,0,1,1,10,9.82,-0.255,5862,57.08,1055.58,5.8,626,0,0.0,1,1184.32
Facebook,Text,News,Educator,17,2,0,0,131,9,1,1,1,0,1,0,7.52,-0.55,3027,72.33,984.17,5.0,693,0,0.0,0,1105.91
Instagram,Carousel,Entertainment,Influencer,11,5,1,1,227,6,2,6,0,0,6,0,6.35,-0.327,79739,37.69,881.58,5.8,679,0,0.0,0,986.99
LinkedIn,Carousel,Product,Educator,17,6,1,0,101,5,0,3,0,0,7,0,9.91,0.25,52191,46.47,148.3,3.7,30,0,0.0,0,974.01
Facebook,Carousel,Product,Personal Brand,20,1,0,1,77,6,4,0,1,0,8,0,6.68,-0.225,27168,19.18,282.49,4.4,826,0,0.0,1,838.84
Instagram,Image,Education,Business,10,4,0,0,229,4,0,3,1,0,1,0,7.61,-0.185,70743,29.12,944.44,6.5,387,0,0.0,1,869.42
Instagram,Reel,Behind-the-scenes,Media,3,5,1,0,188,6,1,1,0,1,1,39,8.01,0.609,53522,76.79,1125.08,2.1,197,0,0.0,0,1251.2
Instagram,Carousel,Lifestyle,Business,14,0,0,0,197,10,0,1,1,0,8,0,9.35,0.184,8668,57.21,362.54,9.0,1091,0,0.0,0,1036.52
Instagram,Reel,News,Media,21,2,0,1,78,7,0,1,0,0,1,26,7.12,-0.834,14268,53.58,1169.99,3.3,184,0,0.0,0,1071.21
Instagram,Video,Behind-the-scenes,Educator,19,0,0,1,195,4,3,1,1,0,1,36,6.36,-0.281,31533,51.85,1100.48,4.4,961,1,203.88,0,1118.98
Instagram,Image,Lifestyle,Personal Brand,7,3,0,0,247,8,0,4,0,0,1,0,8.62,0.657,26496,43.13,829.85,6.5,591,0,0.0,0,851.4
YouTube Shorts,Video,Entertainment,Personal Brand,9,3,0,0,136,1,1,2,1,0,1,51,2.97,0.54,104232,43.91,544.79,8.3,997,0,0.0,0,1007.28
X,Video,Education,Influencer,7,0,0,0,150,6,1,5,0,0,1,25,8.76,-0.083,11570,18.72,851.5,7.7,30,0,0.0,1,892.28
YouTube Shorts,Video,Product,Educator,20,2,0,1,85,7,0,3,1,1,1,21,8.67,0.493,52457,51.84,697.79,3.5,30,1,959.59,0,1084.52
X,Image,Lifestyle,Influencer,22,3,0,1,106,8,1,1,0,0,1,0,8.09,0.14,22271,62.15,988.54,5.0,991,0,0.0,0,1031.53
LinkedIn,Text,Education,Personal Brand,19,2,0,1,30,8,5,3,1,0,1,0,5.33,0.005,32102,44.38,849.75,5.1,1053,0,0.0,0,970.08
Facebook,Text,Lifestyle,Personal Brand,0,6,1,0,169,6,1,4,1,0,1,0,7.23,0.413,60516,38.54,978.51,2.9,1316,0,0.0,1,883.1
Instagram,Image,Motivation,Media,9,6,1,0,20,4,0,3,0,0,1,0,7.35,0.934,40185,47.6,1099.9,8.0,1315,0,0.0,0,946.78
YouTube Shorts,Video,Motivation,Educator,13,6,1,1,62,8,2,1,1,0,1,50,7.7,-0.57,38808,46.84,1357.05,2.6,873,0,0.0,0,1140.41
Instagram,Reel,Lifestyle,Influencer,8,3,0,0,48,7,0,4,0,0,1,42,4.98,-0.268,79749,58.65,1617.86,8.8,1286,0,0.0,0,1150.53
Facebook,Image,Entertainment,Educator,9,5,1,0,112,11,2,2,1,0,1,0,8.92,0.359,2500,43.74,224.58,6.6,850,0,0.0,0,962.33
Instagram,Image,Lifestyle,Media,23,1,0,0,64,6,0,7,1,0,1,0,7.5,-0.628,67822,54.41,957.28,3.4,1086,1,53.34,0,1014.82
LinkedIn,Image,Motivation,Influencer,16,6,1,0,20,7,0,2,1,0,1,0,8.3,-0.442,19146,19.66,1426.14,8.9,1079,0,0.0,0,855.14
X,Video,Entertainment,Educator,18,6,1,1,152,7,2,1,1,0,1,72,9.15,0.269,60332,48.57,1763.73,3.9,366,0,0.0,0,1255.89
LinkedIn,Image,News,Business,12,0,0,1,142,6,1,0,0,0,1,0,9.62,-0.129,40899,57.59,1357.3,6.2,1454,0,0.0,0,1102.82
X,Video,Lifestyle,Personal Brand,13,5,1,1,178,7,0,1,0,1,1,20,9.26,-0.273,35878,28.13,708.24,3.6,691,0,0.0,1,995.71
X,Image,Entertainment,Personal Brand,12,1,0,1,249,7,2,0,1,0,1,0,8.33,0.063,38450,25.12,1807.53,1.6,854,0,0.0,0,878.56
YouTube Shorts,Video,Product,Business,17,5,1,0,276,7,0,1,0,0,1,45,9.45,0.112,3382,51.83,294.45,6.8,870,0,0.0,1,927.33
Instagram,Reel,News,Educator,9,2,0,0,269,6,2,4,1,1,1,40,8.15,0.668,18278,50.02,1122.79,5.0,30,0,0.0,1,1135.25
Instagram,Image,Product,Personal Brand,4,6,1,0,118,10,0,4,0,0,1,0,7.78,0.186,5529,62.45,618.14,7.2,1045,0,0.0,1,963.22
LinkedIn,Carousel,Lifestyle,Business,19,3,0,1,246,10,3,1,0,0,6,0,6.8,0.294,5224,49.53,579.67,4.0,1156,1,74.61,0,1012.01
LinkedIn,Video,News,Personal Brand,17,2,0,0,84,7,1,4,0,1,1,18,6.03,-0.555,52077,50.3,1057.56,4.7,209,0,0.0,0,1155.9
Facebook,Text,Lifestyle,Educator,5,4,0,0,20,6,2,2,0,0,1,0,8.49,0.364,16019,29.67,35.27,4.7,981,0,0.0,0,819.0
Facebook,Video,Product,Business,12,3,0,1,211,3,2,5,1,1,1,44,7.45,0.569,10133,37.94,1877.17,7.2,723,0,0.0,0,949.68
Instagram,Reel,News,Business,14,0,0,0,218,8,2,2,0,1,1,75,8.48,0.389,20245,40.91,1082.69,4.0,770,0,0.0,0,998.2
LinkedIn,Image,Lifestyle,Personal Brand,13,2,0,1,388,2,0,5,1,0,1,0,5.55,0.111,161690,63.11,915.48,7.6,1101,1,170.64,0,885.8
Instagram,Video,Motivation,Educator,2,2,0,0,181,7,2,1,0,0,1,17,6.93,0.11,4431,42.89,640.05,3.7,1229,0,0.0,0,890.04
Instagram,Reel,Lifestyle,Business,12,1,0,1,116,11,0,2,1,1,1,25,7.3,0.719,81525,62.14,1186.41,7.2,1086,0,0.0,0,1272.22
X,Text,News,Influencer,3,1,0,0,184,6,2,0,1,0,1,0,9.61,0.554,139845,35.72,825.03,6.9,30,0,0.0,0,987.75
Instagram,Reel,News,Educator,20,6,1,1,59,10,2,3,0,1,1,40,7.21,-0.359,10795,48.31,742.17,7.9,828,0,0.0,0,1070.97
Instagram,Image,Education,Influencer,20,1,0,1,209,7,0,1,1,0,1,0,6.33,-0.1,31708,46.48,1725.25,3.3,571,0,0.0,0,959.17
Facebook,Video,Lifestyle,Media,22,4,0,1,132,4,0,2,0,0,1,43,7.35,0.07,8394,36.79,575.16,3.3,596,0,0.0,0,852.76
Instagram,Reel,Product,Business,7,4,0,0,75,6,0,4,1,1,1,36,6.34,-0.277,80215,69.24,603.68,5.5,288,0,0.0,0,1247.0
